"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11100","Amarillo, TX","366","234","119","13",".",".","136","80","45",".",".","321",".","45","."
"12420","Austin-Round Rock, TX","366","249","109","6","2",".","172","75","44",".","1","229",".","136","."
"13140","Beaumont-Port Arthur, TX","366","226","118","19","2","1","207","87","46",".",".","195","18","153","."
"15180","Brownsville-Harlingen, TX","366","263","103",".",".",".","85","61","43",".",".","134",".","220","12"
"18580","Corpus Christi, TX","366","259","101","6",".",".","147","67","42",".",".","200","3","162","1"
"18620","Corsicana, TX","366","271","92","2","1",".","159","71","42",".",".","240","6","120","."
"19100","Dallas-Fort Worth-Arlington, TX","366","133","171","49","10","3","205","119","56",".","9","191",".","166","."
"20580","Eagle Pass, TX","266","214","52",".",".",".","84","58","33",".",".",".",".","266","."
"21340","El Paso, TX","366","113","229","19","2","3","643","92","58",".","14","154",".","179","19"
"26420","Houston-The Woodlands-Sugar Land, TX","366","130","188","37","9","2","233","112","55",".","10","136",".","208","12"
"28660","Killeen-Temple, TX","363","290","64","8","1",".","154","71","40",".",".","363",".",".","."
"28780","Kingsville, TX","328","262","66",".",".",".","88","59","35",".",".",".",".","328","."
"29700","Laredo, TX","346","242","103","1",".",".","103","62","42",".",".","48",".","293","5"
"30980","Longview, TX","363","291","67","5",".",".","143","67","37",".","4","346","13",".","."
"31180","Lubbock, TX","278","231","45","2",".",".","113","54","35",".",".",".",".","278","."
"32220","Marshall, TX","366","237","122","7",".",".","133","67","44",".",".","188",".","178","."
"32580","McAllen-Edinburg-Mission, TX","366","258","108",".",".",".","84","63","42",".",".","123",".","241","2"
"36220","Odessa, TX","366","307","59",".",".",".","79","54","37",".",".",".",".","366","."
"41700","San Antonio-New Braunfels, TX","366","222","128","12","4",".","161","80","46.5",".","1","205",".","160","."
"45500","Texarkana, TX-AR","59","37","22",".",".",".","77","60","45",".",".",".",".","59","."
"46340","Tyler, TX","365","286","72","7",".",".","147","71","40",".","2","363",".",".","."
"47020","Victoria, TX","348","319","29",".",".",".","100","49","31",".",".","348",".",".","."
"47380","Waco, TX","366","288","74","3","1",".","154","67","39","1","11","273","1","80","."
"48660","Wichita Falls, TX","335","317","18",".",".",".","72","46","28",".",".",".",".","335","."
