"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11100","Amarillo, TX","365","288","76","1",".",".","120","61","42",".",".","310","2","53","."
"12420","Austin-Round Rock, TX","365","249","116",".",".",".","97","67","44",".","11","184",".","169","1"
"13140","Beaumont-Port Arthur, TX","365","229","131","5",".",".","133","69","45",".",".","167","28","170","."
"15180","Brownsville-Harlingen, TX","365","251","114",".",".",".","99","66","43",".",".","131",".","234","."
"18580","Corpus Christi, TX","365","260","104","1",".",".","105","63","42",".",".","164",".","200","1"
"18620","Corsicana, TX","364","273","91",".",".",".","93","59","41",".","2","195","7","160","."
"19100","Dallas-Fort Worth-Arlington, TX","365","175","162","25","3",".","164","90","51",".","18","196","1","147","3"
"20580","Eagle Pass, TX","337","255","82",".",".",".","79","59","36",".",".",".",".","337","."
"21340","El Paso, TX","365","183","173","8","1",".","158","79","50",".","25","154",".","178","8"
"26420","Houston-The Woodlands-Sugar Land, TX","365","147","204","13","1",".","174","84","54",".","13","134","3","196","19"
"28660","Killeen-Temple, TX","364","305","57","2",".",".","112","64","39",".",".","364",".",".","."
"28780","Kingsville, TX","343","277","66",".",".",".","99","59","32",".",".",".",".","343","."
"29700","Laredo, TX","365","257","108",".",".",".","82","62","43","3",".","107",".","253","2"
"30980","Longview, TX","365","335","27","3",".",".","120","49","34",".","4","348","13",".","."
"31180","Lubbock, TX","265","232","33",".",".",".","100","53","28",".",".",".",".","265","."
"32220","Marshall, TX","365","297","67","1",".",".","101","56","38",".",".","196",".","169","."
"32580","McAllen-Edinburg-Mission, TX","365","271","94",".",".",".","88","63","39",".",".","121",".","241","3"
"36220","Odessa, TX","365","307","58",".",".",".","87","56","33",".",".",".",".","365","."
"41700","San Antonio-New Braunfels, TX","365","203","156","6",".",".","136","75","48",".","5","182",".","177","1"
"45500","Texarkana, TX-AR","117","88","29",".",".",".","72","58","39",".",".",".",".","117","."
"46340","Tyler, TX","365","329","36",".",".",".","100","50","34",".","2","363",".",".","."
"47020","Victoria, TX","358","340","18",".",".",".","93","45","30",".",".","358",".",".","."
"47380","Waco, TX","365","296","68","1",".",".","105","61","41","1","4","222",".","138","."
"48660","Wichita Falls, TX","49","48","1",".",".",".","54","30","20",".",".",".",".","49","."
