"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"11100","Amarillo, TX","361","240","113","8",".",".","140","80","44",".",".","298",".","63","."
"12420","Austin-Round Rock, TX","365","218","133","13","1",".","151","84","45",".","1","226",".","138","."
"13140","Beaumont-Port Arthur, TX","365","201","130","29","5",".","200","93","48",".",".","182","37","146","."
"15180","Brownsville-Harlingen, TX","365","249","115","1",".",".","104","68","43","1",".","107",".","256","1"
"18580","Corpus Christi, TX","365","264","90","10","1",".","154","69","40",".",".","216",".","145","4"
"18620","Corsicana, TX","365","209","142","14",".",".","147","80","46",".","6","215","6","138","."
"19100","Dallas-Fort Worth-Arlington, TX","365","133","166","46","20",".","195","119","58",".","22","200","1","140","2"
"20580","Eagle Pass, TX","334","253","80","1",".",".","136","63","35",".",".",".",".","334","."
"21340","El Paso, TX","365","99","246","17","3",".","186","93","60",".","22","135",".","195","13"
"23240","Fredericksburg, TX","183","134","45","4",".",".","115","74","44",".",".","183",".",".","."
"26420","Houston-The Woodlands-Sugar Land, TX","365","103","205","44","11","2","207","122","58",".","11","136","10","196","12"
"28660","Killeen-Temple, TX","362","279","71","12",".",".","136","77","42",".",".","362",".",".","."
"28780","Kingsville, TX","237","167","69","1",".",".","109","61","41",".",".",".",".","237","."
"29700","Laredo, TX","350","236","111","3",".",".","104","67","43",".",".","58",".","275","17"
"30980","Longview, TX","347","250","74","21","2",".","159","90","40",".","9","325","13",".","."
"31180","Lubbock, TX","320","268","49","3",".",".","136","57","31",".",".",".",".","320","."
"32220","Marshall, TX","365","216","131","17","1",".","195","84","47",".",".","206",".","159","."
"32580","McAllen-Edinburg-Mission, TX","365","240","124","1",".",".","101","67","43",".",".","112",".","252","1"
"36220","Odessa, TX","365","268","93","4",".",".","130","63","38",".",".",".",".","365","."
"41700","San Antonio-New Braunfels, TX","365","209","134","20","2",".","154","84","47",".",".","204",".","160","1"
"45500","Texarkana, TX-AR","61","39","22",".",".",".","76","62","42",".",".",".",".","61","."
"46340","Tyler, TX","363","268","76","19",".",".","150","87","42",".","8","355",".",".","."
"47020","Victoria, TX","327","286","37","4",".",".","133","54","32",".",".","327",".",".","."
"47380","Waco, TX","365","239","107","19",".",".","147","84","44",".",".","248",".","117","."
"48660","Wichita Falls, TX","345","302","43",".",".",".","75","54","29",".",".",".",".","345","."
